[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.75 MBytes  14.7 Mbits/sec    2    284 KBytes       
[  7]   0.00-1.00   sec  3.96 MBytes  33.2 Mbits/sec    0    195 KBytes       
[  9]   0.00-1.00   sec  5.15 MBytes  43.2 Mbits/sec    0    218 KBytes       
[ 11]   0.00-1.00   sec  6.13 MBytes  51.4 Mbits/sec    0    270 KBytes       
[ 13]   0.00-1.00   sec  1.56 MBytes  13.1 Mbits/sec    4   79.2 KBytes       
[ 15]   0.00-1.00   sec  6.12 MBytes  51.3 Mbits/sec    4   1.15 MBytes       
[ 17]   0.00-1.00   sec  7.65 MBytes  64.1 Mbits/sec    0    317 KBytes       
[ 19]   0.00-1.00   sec  3.75 MBytes  31.4 Mbits/sec    0    160 KBytes       
[ 21]   0.00-1.00   sec  7.26 MBytes  60.9 Mbits/sec    0    308 KBytes       
[ 23]   0.00-1.00   sec  7.61 MBytes  63.8 Mbits/sec    5    482 KBytes       
[ 25]   0.00-1.00   sec  6.30 MBytes  52.8 Mbits/sec    0    287 KBytes       
[ 27]   0.00-1.00   sec  7.10 MBytes  59.5 Mbits/sec    1    287 KBytes       
[ 29]   0.00-1.00   sec  3.22 MBytes  27.0 Mbits/sec    1    130 KBytes       
[ 31]   0.00-1.00   sec  3.06 MBytes  25.7 Mbits/sec    0    124 KBytes       
[ 33]   0.00-1.00   sec  5.54 MBytes  46.4 Mbits/sec    0    236 KBytes       
[ 35]   0.00-1.00   sec  7.11 MBytes  59.6 Mbits/sec    0    301 KBytes       
[ 37]   0.00-1.00   sec  6.30 MBytes  52.8 Mbits/sec    0    301 KBytes       
[ 39]   0.00-1.00   sec  1.75 MBytes  14.7 Mbits/sec    4    257 KBytes       
[ 41]   0.00-1.00   sec  6.30 MBytes  52.8 Mbits/sec    0    287 KBytes       
[ 43]   0.00-1.00   sec  2.03 MBytes  17.0 Mbits/sec    0    115 KBytes       
[ 45]   0.00-1.00   sec   762 KBytes  6.23 Mbits/sec    2   72.1 KBytes       
[ 47]   0.00-1.00   sec   762 KBytes  6.23 Mbits/sec    2   72.1 KBytes       
[ 49]   0.00-1.00   sec  1.44 MBytes  12.0 Mbits/sec    0    100 KBytes       
[ 51]   0.00-1.00   sec   981 KBytes  8.03 Mbits/sec    1   77.8 KBytes       
[ 53]   0.00-1.00   sec  6.25 MBytes  52.4 Mbits/sec    2   1.95 MBytes       
[ 55]   0.00-1.00   sec  5.00 MBytes  41.9 Mbits/sec    7    421 KBytes       
[ 57]   0.00-1.00   sec  7.50 MBytes  62.8 Mbits/sec    6    624 KBytes       
[ 59]   0.00-1.00   sec  7.22 MBytes  60.5 Mbits/sec    0    320 KBytes       
